Daily Averages and Snow/Precipitation Indicators (Updated):
      date  avg_injuries  avg_deaths  snow_over_0_1  precipitation_over_0_1  total_precipitation  total_snowfall
2022-04-15          0.90        0.00              0                       0             0.000000        0.000000
2022-04-16          0.60        0.00              0                       1             3.385827        0.000000
2022-04-17          0.45        0.00              0                       0             0.314961        0.000000
2022-04-18          0.55        0.00              0                       1             9.527559        0.000000
2022-04-19          0.50        0.00              0                       1            17.716535        0.000000
2022-04-20          0.35        0.00              0                       0             0.000000        0.000000
2022-04-21          0.40        0.00              0                       0             0.236220        0.000000
2022-04-22          0.55        0.00              0                       0             0.000000        0.000000
2022-04-23          0.55        0.00              0                       0             0.000000        0.000000
2022-04-24          0.35        0.00              0                       0             0.000000        0.000000
2022-04-25          0.55        0.00              0                       0             0.000000        0.000000
2022-04-26          0.55        0.00              0                       1             3.858267        0.000000
2022-04-27          0.30        0.00              0                       0             0.000000        0.000000
2022-04-28          0.40        0.00              0                       0             0.000000        0.000000
2022-04-29          0.30        0.00              0                       0             0.000000        0.000000
2022-04-30          0.70        0.00              0                       0             0.000000        0.000000
2022-05-01          0.45        0.00              0                       0             0.866142        0.000000

Average Injuries and Deaths Per Accident by Condition (Updated):
day_condition  avg_injuries_per_accident  avg_deaths_per_accident
         Both                   0.445455                 0.000000
      Neither                   0.425625                 0.001875
Precipitation                   0.455357                 0.005357
         Snow                   0.325000                 0.000000
